,date,startup_name,industry_vertical,subvertical,city,investor,investment_type,amount,year,month
1914,2016-03-02,woodpie,consumer internet,book recommendation service,bengaluru,ingram content group,seed,2489100.0,2016,3
1915,2016-04-02,perfumery,ecommerce,fragrances & perfume etailer,new delhi,oranda global & others,seed,2489100.0,2016,4
1916,2016-05-02,magic crate,education,children education platform,bengaluru,"tv mohandas pai, aarin capital",seed,,2016,5
1917,2016-05-02,zendrive,technology,safe driving data & analytics platform,india/us,"sherpa capital, nyca partners and thomvest ventures",private equity,1120095000.0,2016,5
1918,2016-05-02,smartcooky,ecommerce,marketplace for health foods,new delhi,"vandana luthra,",private equity,,2016,5
1919,2016-05-02,turtlemint,consumer internet,online personalized insurance platform,mumbai,nexus venture partners,private equity,,2016,5
1920,2016-05-02,bhive,real estate,workspace rentals,bengaluru,"raghunandan g, venturesity, arihant patni",seed,,2016,5
1921,2016-05-02,gingercrush,ecommerce,personalized products & merchandize etailer,vadodara,"saha fund, tv mohandas pai, zia mody, mumbai angels, ananda kallugadde, rakesh desai, rakesh malhotra",private equity,82970000.0,2016,5
1922,2016-05-02,american vision,consumer internet,optical store aggregator platform,pune,undisclosed,seed,6720570.0,2016,5
1923,2016-05-02,dawailelo,consumer internet,healthcare services & online pharmacy mobile app,varanasi,undisclosed,seed,4314440.0,2016,5
1924,2016-06-02,heads up for tails,ecommerce,pet products etailer,new delhi,undisclosed,seed,82970000.0,2016,6
1925,2016-06-02,livenutrifit,healthcare,weight loss & healthcare info portal,new delhi,"mohit goel, vinod jain & others",seed,,2016,6
1926,2016-08-02,moglix,ecommerce,industrial & home products marketplace,new delhi,ratan tata,private equity,,2016,8
1927,2016-08-02,istyleyou,consumer internet,personal fashion stylist app,gurgaon,green house ventures (ghv),seed,8297000.0,2016,8
1928,2016-08-02,adurcup,consumer internet,ad network,new delhi,green house ventures (ghv),seed,8297000.0,2016,8
1929,2016-08-02,weddingz,consumer internet,online marketplace for wedding venues and vendors,mumbai,sixth sense ventures,private equity,,2016,8
